dataset,label,n,test_used,test_group,gap,abs_gap,norm_gap,raw_p,bh_p,bh_sig,sig_before
adult_income,race=Other,80,proportion_z,classification,0.12179380873410728,0.12179380873410728,0.15163454920853411,0.006143870869231849,0.09830193390770958,False,True
adult_income,sex=Male & race=Other,54,proportion_z,classification,0.10420121614151467,0.10420121614151467,0.1297315898141776,0.054107615786316066,0.865721852581057,False,False
adult_income,sex=Female & race=Black,405,proportion_z,classification,0.07827529021558877,0.07827529021558877,0.0974535443909154,7.427204047694147e-05,0.0011883526476310635,True,True
adult_income,sex=Female & race=Amer-Indian-Eskimo,41,proportion_z,classification,0.07484258922191211,0.07484258922191211,0.09317979621640675,0.22805930377897976,1.0,False,False
adult_income,race=Black,833,proportion_z,classification,0.062340027221502226,0.062340027221502226,0.07761397745608914,6.024195699616541e-06,9.638713119386466e-05,True,True
adult_income,sex=Male & race=Asian-Pac-Islander,159,proportion_z,classification,-0.05477851830991798,0.05477851830991798,0.06819982080016629,0.08232379838049919,1.0,False,False
adult_income,sex=Female,2923,proportion_z,classification,0.05105313134786027,0.05105313134786027,0.0635616755734888,3.851585717029593e-12,6.162537147247349e-11,True,True
adult_income,race=Amer-Indian-Eskimo,95,proportion_z,classification,0.04942538768147564,0.04942538768147564,0.06153511790487917,0.22562986740127222,1.0,False,False
adult_income,sex=Male & race=Black,428,proportion_z,classification,0.047261098453733386,0.047261098453733386,0.05884055547336799,0.013921933401587205,0.22275093442539529,False,True
adult_income,sex=Female & race=White,2372,proportion_z,classification,0.04628790654186443,0.04628790654186443,0.05762892149637492,1.4255197244850137e-08,2.280831559176022e-07,True,True
adult_income,race=Asian-Pac-Islander,238,proportion_z,classification,-0.03429862824068264,0.03429862824068264,0.042702146240464485,0.18322134730662598,1.0,False,False
adult_income,sex=Male & race=White,5427,proportion_z,classification,-0.03095632946379212,0.03095632946379212,0.03854094975911903,9.693118974141157e-09,1.5508990358625852e-07,True,True
adult_income,sex=Male & race=Amer-Indian-Eskimo,54,proportion_z,classification,0.030127142067440604,0.030127142067440604,0.03750860289057127,0.5776322386739703,1.0,False,False
adult_income,sex=Male,6122,proportion_z,classification,-0.02437574369973794,0.02437574369973794,0.030348052548400502,1.6092134267342573e-06,2.5747414827748116e-05,True,True
adult_income,race=White,7799,proportion_z,classification,-0.007463147285895366,0.007463147285895366,0.009291695416507031,0.09736547313838906,1.0,False,False
adult_income,sex=Female & race=Asian-Pac-Islander,79,proportion_z,classification,0.006920391012588234,0.006920391012588234,0.00861595825311226,0.8770481054336721,1.0,False,False
diabetes,age_group=Young & bmi_group=Low,17,bootstrap_ci,bootstrap_ci,-12.224669966400938,12.224669966400938,0.2649538931942645,0.056,0.392,False,False
diabetes,bmi_group=Low,38,bootstrap_ci,bootstrap_ci,-7.595986194928564,7.595986194928564,0.16463316560101254,0.086,0.602,False,False
diabetes,bmi_group=Med,23,bootstrap_ci,bootstrap_ci,6.015318421378346,6.015318421378346,0.1303742382352916,0.33,1.0,False,False
diabetes,bmi_group=High,28,bootstrap_ci,bootstrap_ci,5.36768398984227,5.36768398984227,0.11633760047952757,0.372,1.0,False,False
diabetes,age_group=Old,28,bootstrap_ci,bootstrap_ci,0.8181856040278319,0.8181856040278319,0.017733113592308905,0.854,1.0,False,False
diabetes,age_group=Young,40,bootstrap_ci,bootstrap_ci,-0.514382600981385,0.514382600981385,0.011148576861051591,0.874,1.0,False,False
diabetes,age_group=Middle,21,bootstrap_ci,bootstrap_ci,-0.11113775588208341,0.11113775588208341,0.0024087669591706016,0.974,1.0,False,False
